CAMIS,yelp_cat,price,rating,review_count,longitude,latitude,opens,closes,is_overnight
40374834,Italian,2.0,3.0,477.0,40.718179080217,-73.9979933232788,1130.0,2500.0,True
40374974,Diners,3.0,4.0,267.0,40.76346,-73.9883,1630.0,2100.0,False
40375108,Dive Bars,1.0,4.0,176.0,40.7205828183779,-73.9550800451008,1000.0,2700.0,True
40375286,Pizza,2.0,3.5,236.0,40.666538,-73.851986,1100.0,2300.0,False
40375369,Pizza,1.0,4.0,106.0,40.6808917,-73.8426307,1100.0,2230.0,False
40375376,Indian,2.0,4.0,183.0,40.7642247,-73.9665107,1130.0,2300.0,False
40375616,Italian,3.0,4.0,64.0,40.775478,-73.947847,1200.0,2400.0,False
40375634,Dive Bars,2.0,3.5,107.0,40.80634,-73.94974,1200.0,2700.0,True
40375699,Italian,3.0,4.0,82.0,40.735408782959,-73.9977264404297,1200.0,2300.0,False
40375839,Breakfast & Brunch,2.0,3.0,424.0,40.7299118949007,-73.992851118871,0.0,2400.0,False
40375929,Restaurants,2.0,4.5,15.0,40.61192,-73.99785,,,False
40376029,Other,,,,,,,,False
40376077,Pizza,2.0,3.5,426.0,40.75753,-73.78288,1100.0,2400.0,False
40376142,Italian,3.0,4.0,188.0,40.7724199,-73.9555,1200.0,2400.0,False
40376204,Other,,,,,,,,False
40376290,American (Traditional),2.0,2.0,60.0,40.63035,-74.10689,700.0,3100.0,True
40376352,Other,,,,,,,,False
40376493,Venues & Event Spaces,,5.0,4.0,40.74018,-73.97365,1000.0,1800.0,False
40376495,Italian,3.0,3.5,130.0,40.6821975708008,-73.9956817626953,1130.0,2400.0,False
40376496,Other,2.0,3.5,176.0,40.73341,-74.002098,1400.0,2800.0,True
40376515,Other,,,,,,,,False
40376583,Other,,,,,,,,False
40376635,Other,2.0,3.5,110.0,40.690063,-73.994621,1200.0,2200.0,False
40376718,Sandwiches,2.0,3.5,164.0,40.7685133255622,-73.96122892453,800.0,2100.0,False
40376735,American (Traditional),2.0,3.5,138.0,40.7658801,-73.9799718,1030.0,2800.0,True
40376944,Sushi Bars,3.0,4.0,920.0,40.7277,-74.0001599,1300.0,2300.0,False
40377124,Italian,3.0,3.5,150.0,40.85742,-73.79065,1100.0,2600.0,True
40377243,Pizza,1.0,4.0,163.0,40.8545949,-73.86578,1100.0,2500.0,True
40377262,Pizza,2.0,3.5,32.0,40.542678,-74.207748,1000.0,2200.0,False
40377294,Coffee & Tea,1.0,2.0,36.0,40.70173,-73.88027,600.0,2700.0,True
40377325,Sandwiches,2.0,3.5,350.0,40.746169,-73.977507,1100.0,2400.0,False
40377385,Pizza,1.0,3.5,138.0,40.7329651024261,-73.8047229796821,1100.0,2300.0,False
40377506,Other,,,,,,,,False
40377560,Other,,,,,,,,False
40377630,Other,,,,,,,,False
40377789,Bars,3.0,4.0,477.0,40.77741,-73.98312,800.0,2300.0,False
40378035,Coffee & Tea,1.0,3.0,62.0,40.739521,-73.81546,0.0,2400.0,False
40378136,Breakfast & Brunch,1.0,4.0,164.0,40.79791,-73.96908,600.0,2200.0,False
40378190,Japanese,2.0,3.0,248.0,40.7207696997636,-73.8455943382979,1200.0,2300.0,False
40378212,Other,,,,,,,,False
40378571,Italian,3.0,4.0,245.0,40.7322779619352,-73.9929321762328,1200.0,2400.0,False
40378579,Breakfast & Brunch,2.0,3.0,385.0,40.7517535734003,-73.9899742755447,600.0,2400.0,False
40378719,Other,,,,,,,,False
40378774,Breakfast & Brunch,2.0,3.0,130.0,40.727296995632,-73.8934926493367,600.0,2200.0,False
40378796,Venues & Event Spaces,,3.0,14.0,40.5834587,-73.9382176,,,False
40378822,American (Traditional),1.0,4.0,5.0,40.6379003,-74.1093101,1000.0,2700.0,True
40378827,Pizza,1.0,4.0,4.0,40.606505,-73.965345,,,False
40378874,Other,2.0,4.0,194.0,40.72837,-73.99931,1800.0,2730.0,True
40379026,Bars,1.0,5.0,1.0,40.7478304,-73.8807827,1930.0,2800.0,True
40379149,Italian,2.0,4.0,342.0,40.72959,-74.0011,1200.0,2330.0,False
40379304,Bars,4.0,4.5,1581.0,40.734186,-73.993696,1200.0,2230.0,False
40379566,Bars,3.0,3.5,603.0,40.7221344484417,-73.8675618805452,1200.0,2200.0,False
40379573,Coffee & Tea,1.0,3.5,4.0,40.88546,-73.82818,0.0,2400.0,False
40379580,Diners,2.0,3.0,92.0,40.734895,-73.98022,,,False
40379620,Steakhouses,3.0,3.5,331.0,40.752533,-73.9899368,1200.0,2200.0,False
40379628,Japanese,3.0,4.0,364.0,40.729682,-73.988868,1200.0,2230.0,False
40379662,Italian,3.0,3.5,142.0,40.771125,-73.959251,1200.0,2300.0,False
40379746,Japanese,3.0,3.5,161.0,40.75743,-73.97042,1200.0,2230.0,False
